"license","Licensee Information","Business Name:","License Number:","In Business:","Location Address:","City/Town:","State:","Telephone Number:","Trade Name","Address","Town","County","License #","Permissions","Expiration Date","On or Off","latitude","longitude","accuracy","marker-size","marker-color","marker-symbol"
"100",NA,"CUMBERLAND FARMS #5618","100","Yes","535 MAIN STREET","SACO","ME","207-282-4276","CUMBERLAND FARMS #5618","535 MAIN STREET","SACO","YORK","100","M-V","12/14/2015","OFF",43.661471,43.661471,"locality","small","#4f4","restaurant"
"1010",NA,"RITE AID #4162","1010","Yes","119 BRIDGTON ROAD","FRYEBURG","ME","717-214-8543","RITE AID #4162","119 BRIDGTON ROAD","FRYEBURG","OXFORD","1010","M-V","03/25/2015","OFF",43.6770252,43.6770252,"locality","small","#4f4","restaurant"
"1011",NA,"CVS PHARMACY #7410","1011","Yes","48 PORTLAND ROAD","KENNEBUNK","ME","207-467-8299","CVS PHARMACY #7410","48 PORTLAND ROAD","KENNEBUNK","YORK","1011","M-V","06/09/2015","OFF",43.5901974,43.5901974,"locality","small","#4f4","restaurant"
"1040",NA,"HANNAFORD #8384","1040","Yes","5 HANNAFORD DRIVE","YORK","ME","207-363-5357","HANNAFORD #8384","5 HANNAFORD DRIVE","YORK","YORK","1040","M-V","10/27/2015","OFF",44.1113005,44.1113005,"street_address","small","#4f4","restaurant"
"1050",NA,"CAPITAL MARKET","1050","Yes","17 WEST GRAND AVENUE","OLD ORCHARD BEACH","ME","934-9368","CAPITAL MARKET","17 WEST GRAND AVENUE","OLD ORCHARD BEACH","YORK","1050","M-V","05/03/2015","OFF",43.652908,43.652908,"street_address","small","#4f4","restaurant"
"1051",NA,"CVS PHARMACY #454","1051","Yes","510 CONGRESS STREET","PORTLAND","ME","207-774-4525","CVS PHARMACY #454","510 CONGRESS STREET","PORTLAND","CUMBERLAND","1051","M-V","06/27/2015","OFF",43.8427589,43.8427589,"street_address","small","#4f4","restaurant"
"1058",NA,"KENNEBUNK XTRA MART","1058","Yes","88 MAIN STREET","KENNEBUNK","ME","985-3259","KENNEBUNK XTRA MART","88 MAIN STREET","KENNEBUNK","YORK","1058","M-V","02/01/2015","OFF",43.661471,43.661471,"locality","small","#4f4","restaurant"
"1062",NA,"WINE & CHEESE SHOP, THE","1062","Yes","259 POST ROAD","MOODY","ME","646-9959","WINE & CHEESE SHOP, THE","259 POST ROAD","MOODY","YORK","1062","V-M","12/14/2014","OFF",43.674824,43.674824,"street_address","small","#4f4","restaurant"
"1063",NA,"SLEEPER'S","1063","Yes","45A LEBANON STREET","SANFORD","ME","324-7371","SLEEPER'S","45A LEBANON STREET","SANFORD","YORK","1063","V-M","07/05/2015","OFF",43.6398881,43.6398881,"street_address","small","#4f4","restaurant"
"1067",NA,"AIRPORT VARIETY","1067","Yes","1829 MAIN STREET","SANFORD","ME","324-8815","AIRPORT VARIETY","1829 MAIN STREET","SANFORD","YORK","1067","M-V","02/07/2015","OFF",43.8628452,43.8628452,"street_address","small","#4f4","restaurant"
"1074",NA,"CIRCLE K #7062","1074","Yes","162 HAROLD L. DOW HWY","ELIOT","ME","207-439-0945","CIRCLE K #7062","162 HAROLD L. DOW HWY","ELIOT","YORK","1074","V-M","07/15/2015","OFF",43.657671,43.657671,"street_address","small","#4f4","restaurant"
"1076",NA,"YORK BEACH GROCERY AND DELI","1076","Yes","9 OCEAN AVENUE","YORK BEACH","ME","207-363-9195","YORK BEACH GROCERY AND DELI","9 OCEAN AVENUE","YORK BEACH","YORK","1076","M-V","05/14/2015","OFF",43.6527905,43.6527905,"street_address","small","#4f4","restaurant"
"1086",NA,"LODGE ON THE COVE, THE","1086","Yes","29 SOUTH MAIN STREET","KENNEBUNKPORT","ME","207-967-3993","LODGE ON THE COVE, THE","29 SOUTH MAIN STREET","KENNEBUNKPORT","YORK","1086","V-M","08/03/2015","OFF",43.8092095,43.8092095,"street_address","small","#4f4","restaurant"
"109",NA,"SALTY ACRES CAMPGROUND","109","Yes","277 MILLS ROAD - ROUTE 9","KENNEBUNKPORT","ME","967-2483","SALTY ACRES CAMPGROUND","277 MILLS ROAD - ROUTE 9","KENNEBUNKPORT","YORK","109","M-V","06/30/2015","OFF",43.6355665,43.6355665,"street_address","small","#4f4","restaurant"
"1099",NA,"CIGARETTE CITY #2","1099","Yes","44 RIVER STREET","SANFORD","ME","324-5089","CIGARETTE CITY #2","44 RIVER STREET","SANFORD","YORK","1099","V-M","07/22/2015","OFF",43.962758,43.962758,"street_address","small","#4f4","restaurant"
"1101",NA,"VERANDA ASIAN MARKET, LLC","1101","Yes","695 FOREST AVENUE","PORTLAND","ME","207-874-8001","VERANDA ASIAN MARKET, LLC","695 FOREST AVENUE","PORTLAND","CUMBERLAND","1101","V-M","12/06/2014","OFF",43.6414716,43.6414716,"locality","small","#4f4","restaurant"
"1105",NA,"LIL' GENERAL STORE","1105","Yes","8 COUNTRY CLUB ROAD","SANFORD","ME","207-409-3752","LIL' GENERAL STORE","8 COUNTRY CLUB ROAD","SANFORD","YORK","1105","M-V","08/26/2015","OFF",43.659247,43.659247,"street_address","small","#4f4","restaurant"
"1115",NA,"SUN TRS WILD ACRES, LLC","1115","Yes","179 SACO AVENUE","OLD ORCHARD BEACH","ME","207-934-2535","SUN TRS WILD ACRES, LLC","179 SACO AVENUE","OLD ORCHARD BEACH","YORK","1115","V-M","06/04/2015","OFF",43.6469651,43.6469651,"street_address","small","#4f4","restaurant"
"1119",NA,"ZAHARES MARKET","1119","Yes","8 HEATH STREET","OLD ORCHARD BEACH","ME","207-937-8124","ZAHARES MARKET","8 HEATH STREET","OLD ORCHARD BEACH","YORK","1119","V-M","07/23/2015","OFF",43.8039879,43.8039879,"street_address","small","#4f4","restaurant"
"112",NA,"DIMILLO'S OLD PORT MARINA","112","Yes","1  LONG WHARF","PORTLAND","ME","207-773-7632","DIMILLO'S OLD PORT MARINA","1  LONG WHARF","PORTLAND","CUMBERLAND","112","V-M","04/08/2015","OFF",43.587231,43.587231,"street_address","small","#4f4","restaurant"
"1129",NA,"BEACHCOMBER, THE","1129","Yes","388 MILE ROAD","WELLS","ME","646-7726","BEACHCOMBER, THE","388 MILE ROAD","WELLS","YORK","1129","V-M","04/30/2015","OFF",43.6352108,43.6352108,"street_address","small","#4f4","restaurant"
"1136",NA,"FERNLEAF BAKERY AND COFFEE HOUSE","1136","Yes","20 FREE STREET","SACO","ME","207-286-3376","FERNLEAF BAKERY AND COFFEE HOUSE","20 FREE STREET","SACO","YORK","1136","M-V","06/11/2015","OFF",43.6787266,43.6787266,"street_address","small","#4f4","restaurant"
"1141",NA,"MICUCCI GROCERY COMPANY, INC.","1141","Yes","45 INDIA STREET","PORTLAND","ME","775-1854","MICUCCI GROCERY COMPANY, INC.","45 INDIA STREET","PORTLAND","CUMBERLAND","1141","V","12/18/2014","OFF",43.8815607,43.8815607,"street_address","small","#4f4","restaurant"
"115",NA,"TEN TEN PIE","115","Yes","171 CUMBERLAND AVENUE","PORTLAND","ME","807-2681","TEN TEN PIE","171 CUMBERLAND AVENUE","PORTLAND","CUMBERLAND","115","M-V","08/18/2015","OFF",43.6770863,43.6770863,"street_address","small","#4f4","restaurant"
"1151",NA,"LA BODEGA LATINA GROCERY PORTLAND, LLC","1151","Yes","863 CONGRESS STREET","PORTLAND","ME","207-761-6661","LA BODEGA LATINA GROCERY PORTLAND, LLC","863 CONGRESS STREET","PORTLAND","CUMBERLAND","1151","M-V","10/10/2015","OFF",43.7461908,43.7461908,"street_address","small","#4f4","restaurant"
"1155",NA,"CENTER LOVELL MARKET II","1155","Yes","1007 MAIN STREET","LOVELL","ME","207-925-1051","CENTER LOVELL MARKET II","1007 MAIN STREET","LOVELL","OXFORD","1155","V-M","01/26/2015","OFF",43.6640183,43.6640183,"street_address","small","#4f4","restaurant"
"1163",NA,"TOWN LINE DELI","1163","Yes","134 MAIN STREET  A","WATERBORO","ME","247-1031","TOWN LINE DELI","134 MAIN STREET  A","WATERBORO","YORK","1163","M","09/12/2015","OFF",43.5944145,43.5944145,"street_address","small","#4f4","restaurant"
"1169",NA,"SHEILA'S COUNTRY STORE","1169","Yes","178 EAST GRAND","OLD ORCHARD BEACH","ME","934-3569","SHEILA'S COUNTRY STORE","178 EAST GRAND","OLD ORCHARD BEACH","YORK","1169","M-V","05/13/2015","OFF",43.6631948,43.6631948,"street_address","small","#4f4","restaurant"
