"license","Licensee Information","Business Name:","License Number:","In Business:","Location Address:","City/Town:","State:","Telephone Number:","Trade Name","Address","Town","County","License #","Permissions","Expiration Date","On or Off","latitude","longitude","accuracy","marker-size","marker-color","marker-symbol"
"100",NA,"CUMBERLAND FARMS #5618","100","Yes","535 MAIN STREET","SACO","ME","207-282-4276","CUMBERLAND FARMS #5618","535 MAIN STREET","SACO","YORK","100","M-V","12/14/2015","OFF",43.5099332,-70.4331599,"street_address","small","#4f4","alcohol-shop"
"1000",NA,"TERRA COTTA PASTA COMPANY","1000","Yes","501 COTTAGE RD.","SOUTH PORTLAND","ME","207-799-9099","TERRA COTTA PASTA COMPANY","501 COTTAGE RD.","SOUTH PORTLAND","CUMBERLAND","1000","V","05/19/2015","OFF",43.6346534,-70.2303536,"street_address","small","#4f4","alcohol-shop"
"1002",NA,"BAYLEY'S CAMPGROUND, INC.","1002","Yes","275 PINE POINT ROAD","SCARBOROUGH","ME","883-6043","BAYLEY'S CAMPGROUND, INC.","275 PINE POINT ROAD","SCARBOROUGH","CUMBERLAND","1002","V-M","04/30/2015","OFF",43.546239,-70.35944,"street_address","small","#4f4","alcohol-shop"
"1006",NA,"CIRCLE K #7066","1006","Yes","205 PLEASANT STREET","BRUNSWICK","ME","207-729-1561","CIRCLE K #7066","205 PLEASANT STREET","BRUNSWICK","CUMBERLAND","1006","M-V","07/15/2015","OFF",43.9117094,-69.9956376,"street_address","small","#4f4","alcohol-shop"
"1008",NA,"ROYAL RIVER NATURAL FOODS","1008","Yes","443 U.S. ROUTE #1","FREEPORT","ME","207-865-0046","ROYAL RIVER NATURAL FOODS","443 U.S. ROUTE #1","FREEPORT","CUMBERLAND","1008","V-M","06/30/2015","OFF",43.8352208,-70.1267937,"street_address","small","#4f4","alcohol-shop"
"1010",NA,"RITE AID #4162","1010","Yes","119 BRIDGTON ROAD","FRYEBURG","ME","717-214-8543","RITE AID #4162","119 BRIDGTON ROAD","FRYEBURG","OXFORD","1010","M-V","03/25/2015","OFF",44.0194937,-70.9638203,"street_address","small","#4f4","alcohol-shop"
"1011",NA,"CVS PHARMACY #7410","1011","Yes","48 PORTLAND ROAD","KENNEBUNK","ME","207-467-8299","CVS PHARMACY #7410","48 PORTLAND ROAD","KENNEBUNK","YORK","1011","M-V","06/09/2015","OFF",43.3937788,-70.5331263,"street_address","small","#4f4","alcohol-shop"
"1015",NA,"J. DECOR","1015","Yes","31 MAIN STREET","BRIDGTON","ME","207-647-5555","J. DECOR","31 MAIN STREET","BRIDGTON","CUMBERLAND","1015","V","06/22/2015","OFF",44.0544789,-70.7132413,"street_address","small","#4f4","alcohol-shop"
"1017",NA,"BLAISDELLS","1017","Yes","9 N MAIN STREET","PERU","ME","207-562-7331","BLAISDELLS","9 N MAIN STREET","PERU","OXFORD","1017","M-V","09/12/2015","OFF",44.5272951,-70.4637728,"street_address","small","#4f4","alcohol-shop"
"1019",NA,"FLOCK AND VINE","1019","Yes","541 OCEAN HOUSE ROAD","CAPE ELIZABETH","ME","207-799-8463","FLOCK AND VINE","541 OCEAN HOUSE ROAD","CAPE ELIZABETH","CUMBERLAND","1019","M-V","05/21/2015","OFF",43.5712959,-70.2225,"street_address","small","#4f4","alcohol-shop"
"102",NA,"7-ELEVEN #32534A","102","Yes","16 MAIN STREET","GORHAM","ME","207-839-3427","7-ELEVEN #32534A","16 MAIN STREET","GORHAM","CUMBERLAND","102","M-V","01/16/2015","OFF",43.680362,-70.442662,"street_address","small","#4f4","alcohol-shop"
"1020",NA,"CVS PHARMACY #1288","1020","Yes","147 BATH ROAD, ROUTE 24","BRUNSWICK","ME","207-729-8587","CVS PHARMACY #1288","147 BATH ROAD, ROUTE 24","BRUNSWICK","CUMBERLAND","1020","M-V","03/02/2015","OFF",43.9051637,-69.9148558,"route","small","#4f4","alcohol-shop"
"1021",NA,"BROADWAY ONE STOP","1021","Yes","333 BROADWAY","SOUTH PORTLAND","ME","207-799-7613","BROADWAY ONE STOP","333 BROADWAY","SOUTH PORTLAND","CUMBERLAND","1021","V-M","03/03/2015","OFF",43.639731,-70.2438546,"street_address","small","#4f4","alcohol-shop"
"104",NA,"NEW GLOUCESTER VILLAGE STORE","104","Yes","405 INTERVALE ROAD","NEW GLOUCESTER","ME","207-926-4224","NEW GLOUCESTER VILLAGE STORE","405 INTERVALE ROAD","NEW GLOUCESTER","CUMBERLAND","104","V-M","11/17/2014","OFF",43.962758,-70.281182,"street_address","small","#4f4","alcohol-shop"
