"","Invoice.Number","Payment.Date","Amount","Method","Reference"
"521",3,"2013-06-22",15,"Check","4550"
"522",3,"2013-06-22",20,"Check","1389"
"523",3,"2013-06-22",15,"Check","2236"
"524",3,"2013-06-22",235,"Cash",""
"534",1,"2013-06-25",678,"Cash","14606"
"517",4,"2013-07-01",320,"Cash",""
"513",5,"2013-07-06",10,"Check","DuBois"
"514",5,"2013-07-06",530,"Cash",""
"515",5,"2013-07-06",10,"Check","Chester"
"509",6,"2013-07-13",300,"Cash",""
"501",7,"2013-07-15",30,"Cash",""
"502",7,"2013-07-15",30,"Cash","TShirts"
"503",7,"2013-07-15",490,"Cash",""
"507",6,"2013-07-15",5,"Check","MissBeth"
"508",6,"2013-07-15",90,"Cash",""
"496",10,"2013-07-20",480,"",""
"492",9,"2013-07-21",270,"Check",""
"483",11,"2013-07-27",15,"Check",""
"484",11,"2013-07-27",425,"Cash",""
"478",12,"2013-07-28",300,"Cash",""
"482",11,"2013-07-28",10,"Check",""
"474",13,"2013-08-01",5,"Check","Nichols"
"475",13,"2013-08-01",145,"Cash",""
"528",2,"2013-08-02",225,"Check",""
"471",14,"2013-08-03",375,"Cash",""
"467",15,"2013-08-04",280,"Cash",""
"489",8,"2013-08-06",280.5,"Check",""
"463",17,"2013-08-07",165,"Cash",""
"459",16,"2013-08-08",290,"Cash",""
"454",18,"2013-08-10",510,"Cash",""
"450",19,"2013-08-11",360,"Cash",""
"446",20,"2013-08-14",155,"Cash",""
"441",21,"2013-08-15",345,"Cash",""
"436",22,"2013-08-21",140,"Cash",""
"432",23,"2013-08-22",210,"Cash",""
"428",24,"2013-08-24",305,"Cash",""
"421",26,"2013-08-25",60,"Cash",""
"424",25,"2013-08-25",235,"Cash",""
"419",27,"2013-08-31",345,"Cash",""
"416",37,"2013-09-01",180,"Cash",""
"413",33,"2013-09-04",20,"Cash",""
"411",32,"2013-09-05",65,"Cash",""
"409",34,"2013-09-07",165,"Cash",""
"405",35,"2013-09-14",190,"Cash",""
"401",29,"2013-09-21",200,"Cash",""
"398",30,"2013-09-28",265,"Cash",""
"395",31,"2013-09-29",170,"Cash",""
"392",28,"2013-10-05",265,"Check",""
"388",36,"2013-10-06",350,"Cash",""
"383",47,"2013-10-09",55,"Cash",""
"372",48,"2013-10-10",190,"Cash",""
"374",40,"2013-10-10",42,"Check","125"
"376",39,"2013-10-10",42,"Cash",""
"378",38,"2013-10-10",42,"Cash",""
"367",41,"2013-10-11",42,"Check",""
"365",49,"2013-10-12",370,"Cash",""
"361",50,"2013-10-13",310,"Cash",""
"356",42,"2013-10-14",42,"Cash",""
"354",43,"2013-10-17",84,"Check",""
"349",51,"2013-10-19",225,"Cash",""
"351",44,"2013-10-19",42,"Check",""
"344",45,"2013-10-25",94,"Cash",""
"339",52,"2013-10-26",315,"Cash",""
"341",46,"2013-10-26",42,"Check",""
"329",54,"2013-10-29",42,"Check",""
"332",53,"2013-10-29",94,"Check",""
"323",57,"2013-11-01",220,"Check",""
"325",56,"2013-11-01",52,"Check",""
"327",55,"2013-11-01",52,"Check",""
"317",58,"2013-11-09",42,"Check",""
"312",60,"2013-11-15",42,"Check","6449"
"315",59,"2013-11-15",84,"Cash",""
"290",67,"2013-12-10",230,"Cash",""
"292",66,"2013-12-10",52,"Check","6493"
"295",65,"2013-12-10",94,"Cash",""
"298",64,"2013-12-10",94,"Check","13616"
"301",63,"2013-12-10",94,"Check","135"
"306",62,"2013-12-10",178,"Check","1170"
"310",61,"2013-12-10",146,"Check","6474"
"285",68,"2013-12-13",104,"Check",""
"279",70,"2013-12-20",94,"Check","6530"
"282",69,"2013-12-21",94,"Check","6511"
"273",74,"2013-12-29",94,"Check","159"
"276",73,"2013-12-29",94,"Check","6544"
"267",72,"2013-12-30",52,"Check","1248"
"270",71,"2013-12-30",146,"Check","3974"
"265",75,"2014-01-08",52,"Cash",""
"263",76,"2014-01-14",52,"Check","13687"
"261",78,"2014-01-28",52,"Cash",""
"256",80,"2014-01-31",126,"Cash",""
"259",79,"2014-01-31",84,"Check","6630"
"245",83,"2014-02-04",94,"Check","13717"
"247",82,"2014-02-04",42,"Cash",""
"252",81,"2014-02-04",366,"Check","4077"
"242",85,"2014-02-07",84,"Cash",""
"240",86,"2014-02-19",84,"Check","27621"
"238",87,"2014-02-21",42,"Check","218"
"233",89,"2014-02-25",42,"Cash",""
"236",88,"2014-02-25",155,"Check","16326"
"231",90,"2014-03-01",94,"Cash",""
"228",91,"2014-03-05",42,"Cash",""
"226",92,"2014-03-21",42,"Check","4208"
"222",94,"2014-05-17",75,"Cash",""
"224",93,"2014-05-19",42,"Check","6881"
"219",96,"2014-05-24",115,"Cash",""
"208",98,"2014-06-02",42,"Check",""
"206",99,"2014-06-04",42,"Cash",""
"204",100,"2014-06-07",190,"Cash",""
"194",103,"2014-06-10",42,"Cash",""
"197",102,"2014-06-10",84,"Cash",""
"200",101,"2014-06-10",94,"Check","6936"
"184",107,"2014-06-13",84,"Check","1631"
"187",106,"2014-06-13",84,"Cash",""
"190",105,"2014-06-13",84,"Cash",""
"192",104,"2014-06-13",42,"Cash",""
"181",108,"2014-06-14",180,"Cash",""
"177",110,"2014-06-25",120,"Cash",""
"174",111,"2014-06-26",42,"Cash",""
"166",114,"2014-06-30",42,"Cash",""
"170",113,"2014-06-30",126,"Cash",""
"172",112,"2014-06-30",42,"Cash",""
"210",97,"2014-07-03",200,"Check",""
"216",95,"2014-07-03",713,"Check",""
"164",115,"2014-07-06",135,"Cash",""
"161",116,"2014-07-12",200,"Cash",""
"156",118,"2014-08-02",275,"Cash",""
"159",117,"2014-08-02",126,"Cash",""
"151",120,"2014-08-08",42,"Cash",""
"153",119,"2014-08-08",42,"Cash",""
"149",122,"2014-08-09",215,"Cash",""
"145",121,"2014-08-11",42,"Cash",""
"146",121,"2014-08-11",42,"Cash",""
"142",123,"2014-08-17",190,"Cash",""
"139",124,"2014-08-20",190,"Cash",""
"134",126,"2014-08-27",40,"Cash",""
"136",125,"2014-08-27",42,"Cash",""
"128",129,"2014-08-29",168,"Cash",""
"130",128,"2014-08-29",84,"Cash",""
"119",131,"2014-08-30",245,"Cash",""
"120",131,"2014-08-30",55,"",""
"124",130,"2014-08-30",210,"Check","4658"
"132",127,"2014-08-30",42,"Check","1753"
"111",134,"2014-09-04",42,"Cash",""
"113",133,"2014-09-04",84,"Cash",""
"115",132,"2014-09-04",84,"Check","33338"
"105",137,"2014-09-06",185,"Cash",""
"107",136,"2014-09-06",42,"Cash",""
"101",140,"2014-09-13",210,"Cash",""
"103",138,"2014-09-13",42,"Check",""
"109",135,"2014-09-16",42,"Check",""
"98",139,"2014-09-19",42,"Cash",""
"96",141,"2014-09-20",235,"Cash",""
"93",142,"2014-09-25",42,"Cash",""
"85",146,"2014-09-26",42,"Cash",""
"89",144,"2014-09-26",84,"Cash",""
"91",143,"2014-09-26",42,"Check","1776"
"83",147,"2014-09-27",205,"Cash",""
"80",148,"2014-09-30",42,"Check","287"
"78",149,"2014-10-02",84,"Cash",""
"76",150,"2014-10-03",42,"Cash",""
"87",145,"2014-10-03",84,"Check","4751"
"74",151,"2014-10-04",190,"Cash",""
"72",153,"2014-10-09",42,"Cash",""
"68",156,"2014-10-11",270,"Cash",""
"70",154,"2014-10-11",42,"Cash",""
"60",161,"2014-10-16",48,"Cash",""
"62",160,"2014-10-16",48,"Cash",""
"64",159,"2014-10-16",96,"Cash",""
"66",158,"2014-10-16",48,"Cash",""
"58",162,"2014-10-17",48,"Cash",""
"50",165,"2014-10-18",170,"Cash",""
"52",164,"2014-10-18",48,"Check",""
"54",155,"2014-10-18",48,"Check","10640"
"46",166,"2014-10-23",48,"Cash",""
"44",157,"2014-10-24",210,"Cash",""
"42",167,"2014-10-25",245,"Cash",""
"39",169,"2014-10-30",48,"Cash",""
"56",163,"2014-10-30",96,"Check",""
"35",171,"2014-10-31",99,"Cash",""
"37",170,"2014-10-31",57,"Cash",""
"32",172,"2014-11-01",48,"Check",""
"30",173,"2014-11-03",198,"Check","4844"
"25",175,"2014-11-04",48,"Check","14232"
"27",174,"2014-11-04",57,"Cash",""
"23",176,"2014-11-05",99,"Check","4011"
"18",179,"2014-11-07",48,"Cash",""
"20",178,"2014-11-07",96,"Check",""
"16",180,"2014-11-10",101,"Check","28629"
"2",184,"2014-11-13",48,"Check",""
"6",182,"2014-11-13",142,"Check",""
"10",181,"2014-11-13",232,"Check",""
"13",183,"2014-11-13",180,"Check",""
