"","Item.Name","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"1","Autumn Variety Pack III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"2","Brother Mutt's Smoked Marzen",0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
"3","Brother Mutt's Smoked Marzen Firkin",0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
"4","Brother Mutt's Smoked Marzen cases",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"5","Chocorua case",0,0,0,0,0,0,0,0,0,0,0,42,42,0,294,378,0,0
"6","Effinghamburgherbrau 1/2 BBL",0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
"7","Effinghamburgherbrau Case",0,0,0,0,0,462,252,252,84,378,126,0,294,0,0,0,528,288
"8","Effinghamburgherbrau Kellerbier Firkin",115,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0
"9","Effinghamburgherbrau Lager Log",0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Effinghamburgherbrau Lager Quarter Barrel",0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"11","Effinghamburgherbrau Single Bottle",0,320,1290,1120,435,610,0,0,0,0,0,0,60,0,0,0,275,0
"12","Effinghammer Weisse Case",0,0,42,0,0,0,42,0,0,0,0,208,126,0,252,0,0,0
"13","EffinghammerWeisse Bottles",0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","EffinghammerWeisse Half Barrel",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","EffinghammerWeisse Single Bottle",0,0,370,175,275,255,0,0,0,0,0,0,145,50,410,0,0,0
"16","FLUSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0
"17","Fall Variety pack 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"18","Flannel-Free IPA ",0,0,0,0,0,0,0,0,0,0,0,0,126,0,294,0,0,0
"19","Flannel-Free IPA Firkin",0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
"20","Flannel-Free IPA bottles",0,0,0,0,0,0,0,0,0,0,0,105,50,0,505,0,0,0
"21","Hefe Bottles",0,120,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Hefe Log",0,45,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Huzzah Hefeweizen Single Bottle",0,0,0,0,280,0,0,0,0,0,0,0,0,85,0,0,0,0
"24","Huzzah! Hefeweizen",0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
"25","Keg Deposit",0,90,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"26","Kolsch Bottles",0,120,0,1210,275,0,0,0,0,0,0,85,145,200,200,430,120,0
"27","Kolsch Half Barrel",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Kolsch Log",0,90,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"29","MA Certificate of Compliance",0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
"30","Mixed Fall 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"31","Mixed Fall 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
"32","OFest Case",0,0,0,0,0,156,156,52,0,52,0,0,0,0,0,0,114,332
"33","Ofest Bottle",0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
"34","PBC^2 Alt Case",0,0,73.5,0,0,0,42,84,42,84,0,0,0,0,0,0,42,336
"35","PBC^2 Alt Single Bottole",0,0,0,520,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"36","Pils Case",0,0,0,0,0,42,168,84,84,84,0,0,126,0,0,0,0,0
"37","Porter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
"38","Porter Case",0,0,0,0,0,0,156,676,156,156,52,0,0,0,0,0,0,0
"39","Prodigal T-Shirts",0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Roggenbier Bottle ",0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,150,480,0
"41","Roggenbier Case",0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,336,126,0
"42","Roggenbier Firkin",115,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0
"43","Sacopee Pils Bottle",0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Sacopee Pils Log",0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Sacopee Pils Quarter Barrel",0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"46","Sacopee Pils Single Bottle",0,0,1085,175,0,255,0,0,0,0,0,0,0,0,0,0,0,0
"47","Smoked Marzen Case",208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Tshirts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"49","Wolfman Case",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
